year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2013,KONYA,51080,55006,-3926,2079225,80,24.566845819956956,26.455049357332662,-1.888203537375705,13.853414194937175,-1.7333256382139672,-7594.0,12.378024858973834,-3.67548315454314
2014,KONYA,55798,55453,345,2108808,80,26.45949749811268,26.29589796700316,0.1635995311095178,0.8126386212413239,9.23649177760375,4271.0,-0.6015917346432365,2.051803068485223
2015,KONYA,56817,57056,-239,2130544,80,26.667836946807952,26.780014869441793,-0.11217792263384375,2.8907362992083296,1.8262303308362204,-584.0,1.8410358263715398,-0.27577745374336154
2016,KONYA,56500,54712,1788,2161303,80,26.141637706513155,25.314358976968986,0.8272787295441686,-4.1082445316881655,-0.5579316049773797,2027.0,-5.472946522315947,0.9394566521780123
2017,KONYA,53007,56594,-3587,2180149,80,24.31347582206537,25.958776212084587,-1.6453003900192142,3.4398303845591505,-6.182300884955749,-5375.0,2.545658911220672,-2.472579119563383
2018,KONYA,58300,60571,-2271,2205609,80,26.43260886222354,27.46225645615338,-1.0296475939298397,7.027246704597667,9.985473616692131,1316.0,5.791799396802366,0.6156527960893745
2019,KONYA,54219,58557,-4338,2232374,80,24.287596970758486,26.230819746153646,-1.9432227753951623,-3.3250235261098493,-6.999999999999995,-2067.0,-4.48410607469879,-0.9135751814653226
2020,KONYA,43788,48780,-4992,2250020,80,19.461160345241375,21.67980729060186,-2.2186469453604856,-16.69655207746299,-19.23864328003099,-654.0,-17.349867444455757,-0.27542416996532326
2021,KONYA,64254,58865,5389,2277017,80,28.21849814911351,25.851805234655693,2.366692914457819,20.67445674456745,46.738832556864885,10381.0,19.24370400590407,4.585339859818305
2022,KONYA,57578,57765,-187,2296347,80,25.073736678298186,25.15517036406083,-0.08143368576264824,-1.868682578781955,-10.390014629439415,-5576.0,-2.6947242727211496,-2.448126600220467
2023,KONYA,75214,61210,14004,2320241,80,32.41646018667888,26.380880262007267,6.035579924671618,5.963818921492248,30.629754420091015,14191.0,4.872596290175024,6.117013610434266
2024,KONYA,53971,56234,-2263,2330024,80,23.163280721571965,24.13451535263156,-0.9712346310595942,-8.129390622447307,-28.243412130720348,-16267.0,-8.51512492026597,-7.006814555731212
2008,KÜTAHYA,14112,21711,-7599,565884,80,24.937973153508494,38.36652034692622,-13.428547193417732,,,,,
2009,KÜTAHYA,15291,18210,-2919,571804,80,26.74168071576974,31.846576799043028,-5.10489608327329,-16.12546635346138,8.354591836734704,4680.0,-16.993836003179652,8.323651110144443
2010,KÜTAHYA,15311,19923,-4612,590496,80,25.9290494770498,33.739432612583315,-7.810383135533518,9.40691927512356,0.13079589300895034,-1693.0,5.943671200470013,-2.705487052260228
2011,KÜTAHYA,17547,20655,-3108,564264,80,31.097146016758114,36.60520607375271,-5.508060056994599,3.674145460021072,14.603879563712363,1504.0,8.493840113068728,2.302323078538919
2012,KÜTAHYA,20550,16702,3848,573421,80,35.83754344539178,29.126941636249807,6.710601809141974,-19.13822319051077,17.114036587450855,6956.0,-20.429510552230155,12.218661866136573
2013,KÜTAHYA,17875,20915,-3040,572059,80,31.24677699328216,36.56091417144036,-5.314137178158196,25.224524009100712,-13.017031630170317,-6888.0,25.522667735010796,-12.024738987300172
2014,KÜTAHYA,18734,21860,-3126,571554,80,32.777305381468764,38.24660487023098,-5.469299488762217,4.51828830982548,4.805594405594404,-86.0,4.610636076784447,-0.15516231060402053
2015,KÜTAHYA,19447,22337,-2890,571463,80,34.03019968046925,39.08739498445218,-5.057195303982935,2.182067703568169,3.805914380271158,236.0,2.198339217491241,0.4121041847792819
2016,KÜTAHYA,18382,20691,-2309,573642,80,32.04437610914125,36.06953465750416,-4.025158548362916,-7.368939427855126,-5.476423098678462,581.0,-7.72080188037203,1.0320367556200187
2017,KÜTAHYA,17172,20393,-3221,572256,80,30.007549068948165,35.63614885645585,-5.628599787507689,-1.440239717751679,-6.582526384506582,-912.0,-1.2015286727802166,-1.6034412391447725
2018,KÜTAHYA,22582,20392,2190,577941,80,39.07319259232344,35.28387845818172,3.7893141341417205,-0.0049036434070504065,31.504775215467042,5411.0,-0.9885198305043863,9.41791392164941
2019,KÜTAHYA,21212,21456,-244,579257,80,36.61932441040851,37.04055367479375,-0.42122926438523833,5.217732444095713,-6.066778850411836,-2434.0,4.978690816810394,-4.2105433985269585
